rating,category,reviews,description,ingredients,id,url,title
3.60,chinese,5,This is a simple recipe best suited for cold nights. The corn adds a nice crunchy contrast to the creamy boiled rice and soft chicken. Drizzle some sesame oil and add a dash of white pepper on top and it's a meal on its own.,"[""1 (14 ounce) can chicken broth"",""1 (15 ounce) can whole kernel corn, drained"",""1 cup jasmine rice"",""1 skinless, boneless chicken breast, cubed"",""2 tablespoons sesame oil, or to taste"",""5 cups water"",""salt and ground white pepper to taste""]",256272,https://www.allrecipes.com/recipe/256272/slow-cooker-chicken-and-corn-congee/,Slow Cooker Chicken and Corn Congee  Recipe - Allrecipes.com
3.58,chinese,40,"Chinese-style ingredients like almonds, water chestnuts, mushrooms, celery and chow mein noodles combine with a creamy broth, soup and milk mixture - and chicken, of course - to form this casserole. The name comes from the fact that people who have it seem to be pleasantly surprised and wonder what is in it. This is a good recipe for potlucks, etc., as it can be prepared ahead of time and refrigerated or frozen until ready to bake.","[""1 (10.75 ounce) can condensed cream of mushroom soup"",""1 (4.5 ounce) can sliced mushrooms, drained"",""1 (5 ounce) can crispy chow mein noodles"",""1 (5 ounce) can evaporated milk"",""1 (8 ounce) can water chestnuts, drained and minced"",""1 cup chicken broth"",""1 cup diced celery (optional)"",""1 cup sliced almonds"",""2 skinless, boneless chicken breasts - cooked and cubed"",""2/3 cup shredded Cheddar cheese""]",16850,https://www.allrecipes.com/recipe/16850/chinese-chicken-casserole-surprise/,Chinese Chicken Casserole Surprise Recipe - Allrecipes.com
0.00,chinese,0,"I love making these Chinese pineapple buns (bolo bao). They're my favorite treat. Being Chinese, my parents would always go to the Chinese bakery during the weekend and buy these to eat for breakfast or for a snack. Now that I learned how to make these myself, it has saved a lot of money.","[""1 1/2 cups white sugar"",""1 cup canned red bean paste, or as needed (optional)"",""1 cup lukewarm milk"",""1 cup lukewarm water"",""1 cup sugar"",""1 teaspoon baking soda"",""1/2 cup butter"",""2 cups all-purpose flour"",""2 egg yolks"",""2 eggs"",""2 packages active dry yeast"",""2/3 cup salted butter, melted"",""3 teaspoons baking powder"",""4 tablespoons milk"",""7 cups bread flour, or more as needed"",""Bread Dough:"",""Cookie Topping:"",""Filling:""]",265233,https://www.allrecipes.com/recipe/265233/bolo-bao-chinese-pineapple-buns/,Bolo Bao (Chinese Pineapple Buns)   Recipe - Allrecipes.com
4.40,chinese,67,"This is a very easy, tasty recipe. Serve over rice and sprinkle with chopped green onions.","[""1 (8 ounce) can water chestnuts, sliced"",""1 cup chopped celery"",""1 cup red bell pepper, cut into 1/4 inch strips"",""1 cup sliced mushrooms"",""1 pound pork tenderloin"",""1 tablespoon cornstarch"",""1 tablespoon dry sherry"",""1/2 teaspoon ground ginger"",""1/4 cup all-purpose flour"",""1/4 cup chicken broth"",""1/4 cup soy sauce"",""2 cloves garlic, minced"",""2 cups thinly sliced bok choy"",""2 tablespoons vegetable oil, divided""]",22331,https://www.allrecipes.com/recipe/22331/pork-chop-suey/,Pork Chop Suey Recipe - Allrecipes.com
4.00,chinese,1,My version of a Japanese pork and egg noodle soup recipe from a magazine but mine is easier to make. You can simply pour the soup over rice if you prefer.,"[""1 1/2 cups water"",""1 1/2 teaspoons sesame oil"",""1 teaspoon chile paste"",""2 small dried cloud ear mushrooms"",""2 tablespoons black rice vinegar"",""2 tablespoons sake (Japanese rice wine)"",""2 tablespoons soy sauce"",""2 tablespoons white sugar"",""3 eggs"",""4 ounces canned bamboo shoots, drained and chopped"",""4 ounces pork fillet, thinly sliced""]",247028,https://www.allrecipes.com/recipe/247028/pork-and-bamboo-shoot-soup-with-cloud-ear/,Pork and Bamboo Shoot Soup with Cloud Ear Recipe - Allrecipes.com
4.20,chinese,4,"Savory pork roast recipe for the barbecue. Use this Chinese spiced pork alone, in stir-fries, or in soup. Serve sliced with veggie fried rice, Asian coleslaw, and grilled pineapple. This pork is tasty sliced and stir-fried with snow peas and onion. It's supreme in pho and excellent sliced into wonton or udon noodle soup. Best summer adaptation: in buckwheat or soba noodles for a cold salad.","[""1 (1 pound) boneless pork loin roast"",""1 pinch Chinese five-spice powder"",""1 tablespoon aji mirin (sweet rice cooking wine), or more to taste"",""1 whole star anise pod, crushed"",""2 tablespoons dark soy sauce"",""2 tablespoons hoisin sauce"",""2 tablespoons honey""]",229684,https://www.allrecipes.com/recipe/229684/char-siu-pork/,Char Siu Pork Recipe - Allrecipes.com
4.47,chinese,26,"Trust me, one egg is enough to make a sumptuous Egg Drop Soup! The problem I find with egg drop soup recipes is that the timing for the egg drop is never right, so the egg never separates into true ribbons. My Chinese father taught me the trick to this soup, which I now pass to you!","[""1 egg"",""1 pinch white pepper (optional)"",""1/4 cup cold water"",""1/4 teaspoon Asian (toasted) sesame oil (optional)"",""1/4 teaspoon salt"",""1/8 teaspoon ground ginger"",""1/8 teaspoon minced fresh garlic"",""2 tablespoons chopped green onion"",""2 tablespoons tapioca flour"",""4 cups chicken broth""]",199091,https://www.allrecipes.com/recipe/199091/one-egg-egg-drop-soup/,One-Egg Egg Drop Soup Recipe - Allrecipes.com
4.00,chinese,30,"Very easy, and fun for kids to help with.  To bulk it up, add sliced carrots or mushrooms. Garnish with fresh scallions.","[""1 egg, beaten"",""1/2 cup frozen green peas"",""4 cups seasoned chicken broth""]",12920,https://www.allrecipes.com/recipe/12920/chinese-egg-soup/,Chinese Egg Soup Recipe - Allrecipes.com
4.00,chinese,1,"My favorite food of all time! Don't be fooled by the simple ingredients. The secret is in the broth: this is the most amazing, flavorsome Chinese chicken rice dish you've ever tried. Garnish with sliced cucumber, sprigs of spring onions, and cilantro.","[""1 (1 inch) piece fresh ginger root (optional)"",""1 (1 inch) piece ginger, crushed"",""1 (1 inch) piece young ginger"",""1 (1/2 inch) piece ginger"",""1 1/2 tablespoons white sugar, or to taste"",""1 pinch white sugar, or to taste"",""1 stalk spring onion (optional)"",""1 tablespoon garlic oil (optional)"",""1 teaspoon sesame oil"",""1 whole chicken"",""1/4 teaspoon salt"",""1/8 teaspoon salt"",""2 limes, juiced"",""3 cloves garlic"",""3 cloves garlic, crushed, or to taste"",""3 cloves garlic, minced, or to taste"",""3 cups uncooked rice, or more to taste"",""5 red chile peppers, seeded and chopped"",""5 tablespoons light soy sauce"",""For the Chicken:"",""For the Garlic Chile Dip:"",""For the Rice:"",""For the Soy Sauce:"",""Ginger Dip:"",""salt to taste"",""water to cover""]",246922,https://www.allrecipes.com/recipe/246922/must-try-hainanese-chicken-rice/,Must-Try Hainanese Chicken Rice Recipe - Allrecipes.com
4.47,chinese,39,This is a nice and simple cold salad that is nothing more than asparagus dressed in a Chinese-influenced vinaigrette topped with sesame seeds. It's a great way to celebrate the arrival of the asparagus crops!,"[""1 1/2 pounds fresh asparagus, trimmed and cut into 2-inch pieces"",""1 tablespoon rice vinegar"",""1 tablespoon sesame oil"",""1 tablespoon sesame seeds"",""1 teaspoon Dijon mustard"",""1 teaspoon red wine vinegar"",""1 teaspoon soy sauce"",""1 teaspoon white sugar"",""2 tablespoons peanut oil""]",163930,https://www.allrecipes.com/recipe/163930/spring-asparagus-salad/,Spring Asparagus Salad Recipe - Allrecipes.com
4.28,chinese,33,"From Singapore, I am sending you a Chinese dish made with chicken wings, filled with the aroma of sesame oil which makes it totally irresistible. If possible, cook in a clay pot. Also, sliced potatoes can be added to make a hearty meal. Serve with rice or bread if desired.","[""1 1/4 cups water"",""1 clove crushed garlic"",""1 dash sesame oil"",""1 green onion, chopped"",""1/4 cup sesame oil"",""10 tablespoons dark soy sauce"",""2 pounds chicken wings"",""5 tablespoons light soy sauce""]",9002,https://www.allrecipes.com/recipe/9002/sesame-oil-chicken-wings/,Sesame Oil Chicken Wings Recipe - Allrecipes.com
0.00,chinese,0,"This is a classic Chinese dish. Bitter melon is stuffed with a delicious mixture of minced pork, then pan-fried and simmered with a garlic and black bean sauce. Serve with freshly cooked rice.","[""1 1/2 teaspoons light soy sauce"",""1 1/2 teaspoons white sugar"",""1 tablespoon chopped red pepper"",""1 tablespoon cornstarch"",""1 tablespoon cornstarch, or more as needed"",""1 tablespoon minced garlic"",""1 tablespoon oyster sauce"",""1 tablespoon peanut oil (groundnut oil)"",""1 tablespoon water"",""1 teaspoon peanut oil (groundnut oil)"",""1 teaspoon salt"",""1 teaspoon white sugar"",""1/2 cup water"",""12 ounces ground pork"",""2 bitter melon, cut into thick rings and cores removed"",""2 tablespoons chopped dried shrimp"",""3 tablespoons black bean-garlic sauce"",""Marinade:"",""Sauce:"",""cornstarch as needed"",""salt as needed""]",246184,https://www.allrecipes.com/recipe/246184/pork-stuffed-bitter-melon/,Pork Stuffed Bitter Melon Recipe - Allrecipes.com
4.09,chinese,7,"My good friend Lin gave me a recipe for beef in oyster sauce, I misread the amount of black pepper called for in her recipe, and the result was fantastic! I especially like the recipe because no soy sauce is used. My husband likes to eat them with the leftover sliced uncooked onion to bring out the sweetness of the oyster sauce.","[""1 tablespoon vegetable oil"",""1 teaspoon black pepper"",""1 teaspoon cornstarch"",""1 teaspoon oyster sauce"",""1 teaspoon sugar"",""1 teaspoon vegetable oil"",""1 teaspoon water"",""1/2 onion, thinly sliced"",""1/2 teaspoon cornstarch"",""2 tablespoons oyster sauce"",""3/4 pound beef tenderloin, cut into 1/4 inch strips""]",161117,https://www.allrecipes.com/recipe/161117/spicy-beef-filet-in-oyster-sauce/,Spicy Beef Filet in Oyster Sauce Recipe - Allrecipes.com
