rating,category,reviews,description,ingredients,id,url,title
4.79,french,138,"These take a bit of work and time, but are spectacular. They are highly prized for Christmas gift-giving! As with other meringue recipes, these should only be made on a dry day. You will need a pastry bag with a plain tip. If you can save some green plastic berry baskets from the summertime, these mushrooms look totally realistic placed in them.","[""1 cup white sugar"",""1 tablespoon unsweetened cocoa powder"",""1 teaspoon vanilla extract"",""1/2 cup egg whites"",""1/4 teaspoon cream of tartar"",""1/4 teaspoon salt"",""4 ounces chocolate confectioners' coating""]",40322,https://www.allrecipes.com/recipe/40322/meringue-mushrooms/,Meringue Mushrooms Recipe - Allrecipes.com
0.00,french,0,"I don't bake with bread flour or rapid yeast, and I don't have a bread machine. This is a pretty good loaf using things I already have. One might call it 'French on a budget' bread. This recipe can make 1 big loaf or 6 sandwich rolls. I find they're best served warm with homemade butter.","[""1 1/2 cups hot water"",""1 1/2 teaspoons salt"",""1 teaspoon white sugar"",""2 tablespoons vegetable oil"",""2 teaspoons active dry yeast"",""3 3/4 cups all-purpose flour, or more as needed""]",272191,https://www.allrecipes.com/recipe/272191/chewy-french-baguette/,Chewy French Baguette Recipe - Allrecipes.com
4.89,french,8,Gratin Dauphinois is the perfect accompaniment to a roast or roast beef.,"[""1 clove garlic, halved"",""2 1/2 cups heavy whipping cream"",""2 1/4 cups freshly grated Comte cheese"",""2 pounds potatoes, peeled and thinly sliced"",""salt and freshly ground black pepper to taste""]",246439,https://www.allrecipes.com/recipe/246439/gratin-dauphinois-de-solange/,Gratin Dauphinois de Solange Recipe - Allrecipes.com
3.00,french,1,This recipe for the classic French beef stew cooked in red wine is made easier in an Instant Pot® or other multi-functional pressure cooker.,"[""1 large Idaho potato, peeled and diced"",""1 tablespoon chopped fresh thyme, or to taste"",""1 teaspoon dried orange peel"",""1/2 (32 fluid ounce) container chicken broth, or as needed"",""1/2 (750 milliliter) bottle dry red wine"",""12 juniper berries"",""2 bay leaves"",""2 onions, cut into large chunks"",""2 sprigs fresh rosemary"",""2 sprigs fresh thyme"",""3 1/2 pounds well-marbled beef stew meat, cut into large pieces, or more to taste"",""3 cloves garlic, minced"",""3 large carrots, cut into large chunks"",""3 stalks celery, cut into large chunks"",""3 tablespoons chopped fresh parsley"",""3 tablespoons olive oil"",""3 tablespoons tomato paste"",""4 tablespoons vegetable oil"",""4 whole cloves"",""6 juniper berries"",""8-inch square of cheesecloth, or as needed"",""Bouquet Garni:"",""Marinade:"",""salt and freshly ground black pepper to taste""]",269735,https://www.allrecipes.com/recipe/269735/instant-pot-beef-bourguignon/,Instant Pot® Beef Bourguignon Recipe - Allrecipes.com
4.44,french,6,"This is my mom's recipe, and it is a treat. Most everyone wants second helpings (and even thirds)! For this recipe, a little saffron goes a long way and one can never have too much fennel; the seafood is suggested but you can change this recipe according to your taste!","[""1 (14.5 ounce) can diced tomatoes"",""1 bay leaf (optional)"",""1 pinch saffron"",""1 pound cooked lobster meat, cut into bite-size pieces"",""1 pound red snapper fillets, cut into 2 inch pieces"",""1 teaspoon dried thyme leaves"",""1/2 cup olive oil"",""2 (8 ounce) bottles clam juice"",""2 3/4 cups dry white wine"",""2 cloves garlic, minced"",""2 stalks celery, chopped"",""2 teaspoons fennel seeds, crushed"",""24 sea scallops"",""3 leeks, sliced"",""3 tablespoons chopped fresh parsley"",""30 small mussels, scrubbed and debearded"",""salt and ground black pepper to taste""]",216588,https://www.allrecipes.com/recipe/216588/anns-christmas-eve-bouillabaisse/,Ann's Christmas Eve Bouillabaisse Recipe - Allrecipes.com
2.89,french,31,"This is a famous dish that originated in Quebec, Canada, but it is also very popular all over the Great White North, eh.","[""1 (10.25 ounce) can beef gravy"",""1 (16 ounce) package frozen French fries"",""1 (8 ounce) package shredded Cheddar cheese""]",76654,https://www.allrecipes.com/recipe/76654/poutine/,Poutine Recipe - Allrecipes.com
5.00,french,3,"Now you can have your cake and eat pie too. Halfway between Cake Town and Pieville, there's a little spot called Frangipane Junction where almond cake and flaky buttery pastry merge to show off your favorite summer fruits in the most impressive fashion. Bring this to a picnic and your friends will ask what bakery you went to. Garnished here with creme fraiche and lime zest.","[""1 1/2 tablespoons butter, softened"",""1 large egg"",""1 tablespoon white sugar"",""1/3 cup white sugar"",""1/4 teaspoon almond extract (optional)"",""1/4 teaspoon fine salt"",""1/8 teaspoon vanilla extract"",""2 teaspoons water (optional)"",""3 pluots, or to taste"",""3 puff pastry rectangles"",""3 tablespoons apricot jam (optional)"",""3/4 cup almond flour"",""For the Filling:"",""For the Glaze:"",""For the Tart:""]",265860,https://www.allrecipes.com/recipe/265860/fresh-fruit-frangipane-tart/,Fresh Fruit Frangipane Tart Recipe - Allrecipes.com
4.14,french,11,"This is a delightful alternative to ordinary salad dressings.  Works well with many types of salads ingredients like greens, vegetables, and fruits.","[""1 tablespoon fresh lemon juice"",""1 tablespoon fresh lime juice"",""1 tablespoon grapefruit juice"",""1 tablespoon orange juice"",""1 tablespoon white balsamic vinegar"",""2 tablespoons chopped toasted walnuts"",""2 tablespoons grated Romano cheese"",""6 tablespoons olive oil"",""salt and pepper to taste""]",147056,https://www.allrecipes.com/recipe/147056/mixed-citrus-vinaigrette/,Mixed Citrus Vinaigrette Recipe - Allrecipes.com
4.42,french,95,"A tasty red French dressing that has been a family favorite for years. For variations I have used flavored vinegars, red wine, and balsamic vinegars.  The red wine is very good.  Enjoy.","[""1 small onion, quartered"",""1/2 cup vegetable oil"",""1/2 cup white wine vinegar"",""2 teaspoons Worcestershire sauce"",""2 teaspoons paprika"",""2/3 cup ketchup"",""3/4 cup white sugar""]",14298,https://www.allrecipes.com/recipe/14298/aunt-bettys-french-dressing/,Aunt Betty's French Dressing Recipe - Allrecipes.com
4.66,french,19,"What started as a Croque Madame with custard instead of the usual white sauce turned into a Monte Cristo with a poached egg on top. Unable call it a Croque Madame anymore, I turned to Twitter for help. Some dude who goes by the name Zap Shakur suggested I go with Madame Cristo, and the rest is history. Top with poached or fried eggs and garnish with fresh chives.","[""1 pinch cayenne pepper"",""1 pinch freshly grated nutmeg"",""1 teaspoon freshly grated lemon zest"",""1/2 cup heavy cream"",""1/2 teaspoon champagne vinegar"",""1/2 teaspoon salt"",""2 eggs"",""2 large eggs"",""2 tablespoons butter"",""4 ounces thinly sliced honey baked ham, halved"",""4 slices white bread"",""8 thin slices Havarti cheese"",""For the Egg Batter:""]",264681,https://www.allrecipes.com/recipe/264681/madame-cristo-grilled-ham-and-cheese/,Madame Cristo - Grilled Ham and Cheese Recipe - Allrecipes.com
