rating,category,reviews,description,ingredients,id,url,title
4.37,indian,65,This is quick and delicious! Eat the cauliflower with plenty of naan or rice; it's especially delicious with a side of plain yogurt!,"[""1 (12 ounce) can kidney beans, drained and rinsed"",""1 teaspoon cumin seeds"",""1 teaspoon ground dried turmeric"",""1 teaspoon salt, or to taste"",""1 tomato, diced"",""1/2 large onion, diced"",""1/2 teaspoon cayenne pepper"",""2 cloves garlic"",""2 teaspoons garam masala"",""2 teaspoons ground coriander seed"",""3 cups grated cauliflower"",""3 tablespoons vegetable oil""]",160185,https://www.allrecipes.com/recipe/160185/easy-curried-cauliflower/,Easy Curried Cauliflower Recipe - Allrecipes.com
3.81,indian,81,"Chicken breasts sauteed and simmered with onion, olive oil and curry powder. Simplest chicken curry you'll ever make! Serve over hot cooked rice with a little side of mango chutney, if desired.","[""1/3 cup curry powder, or to taste"",""1/4 cup olive oil"",""2 large onions, diced"",""6 skinless, boneless chicken breast halves - cut into strips""]",15156,https://www.allrecipes.com/recipe/15156/easy-chicken-curry/,Easy Chicken Curry Recipe - Allrecipes.com
4.20,indian,4,"Given to me by a co-worker from Bangalore, this is a southern Indian recipe for palak paneer. It was easy to make and very delicious!","[""1 teaspoon ground cumin"",""1 teaspoon ground red chiles"",""1/2 cup water"",""2 cups chopped fresh spinach"",""2 green chile peppers, chopped"",""2 tablespoons salt"",""2 tablespoons vegetable oil, divided"",""2 teaspoons chopped garlic"",""2 teaspoons ground coriander"",""2 tomatoes, chopped"",""3/4 cup chopped onion"",""8 ounces paneer, cubed""]",221828,https://www.allrecipes.com/recipe/221828/palak-paneer-spinach-curry/,Palak Paneer (Spinach Curry) Recipe - Allrecipes.com
4.36,indian,89,"This is the easiest korma recipe I have! A winner for us. Not too spicy, but lots of flavor. If you have ever wanted to try Indian food, this is a good one to start with. Serve over hot rice.","[""1 teaspoon red chile powder"",""1/3 cup sliced almonds"",""2 large onions, chopped"",""2 tablespoons mango chutney"",""2 teaspoons garam masala"",""2 teaspoons salt"",""2 teaspoons turmeric powder"",""3 tablespoons butter"",""3 tablespoons olive oil"",""4 boneless skinless chicken breast halves, chopped"",""4 cloves garlic, minced"",""6 tablespoons plain yogurt""]",55291,https://www.allrecipes.com/recipe/55291/easy-chicken-korma/,Easy Chicken Korma Recipe - Allrecipes.com
4.25,indian,47,This recipe is an old family favorite. A crisp and sweet flatbread that's fried on the griddle. Everyone in my family loves it!,"[""1 tablespoon vegetable oil"",""1/4 cup white sugar"",""1/4 teaspoon salt"",""2 cups all-purpose flour"",""2/3 cup water""]",20034,https://www.allrecipes.com/recipe/20034/indian-sweet-bread/,Indian Sweet Bread Recipe - Allrecipes.com
4.86,indian,6,"I love turnips. This Northern Indian dish is great way to spice up traditional mashed turnips. This dish is great garnished with fresh cilantro or parsley and served with basmati rice, or with naan bread. The amount of chiles you use really controls the heat factor in this dish.","[""1 large onion, chopped"",""1 teaspoon brown sugar"",""1 teaspoon ginger-garlic paste"",""1 teaspoon ground coriander"",""1 teaspoon ground cumin"",""1/2 teaspoon ground turmeric"",""2 cups peeled and cubed turnips"",""2 small green chile peppers, seeded and chopped"",""2 tablespoons vegetable oil"",""2 tomatoes, chopped"",""2/3 cup hot water"",""salt to taste""]",245730,https://www.allrecipes.com/recipe/245730/spiced-turnips-shalgam-masala/,Spiced Turnips (Shalgam Masala) Recipe - Allrecipes.com
0.00,indian,0,This farro and lentil masala is a hearty and satisfying vegan dish with just a bit of spice.,"[""1 cup red lentils"",""1 small onion, finely chopped"",""1 tablespoon garam masala"",""1 teaspoon salt"",""1/2 cup semi-pearled farro"",""2 carrots, finely chopped"",""2 stalks celery, finely chopped"",""2 tablespoons olive oil"",""4 cups vegetable broth, or more to taste""]",262373,https://www.allrecipes.com/recipe/262373/farro-and-lentil-masala/,Farro and Lentil Masala Recipe - Allrecipes.com
4.32,indian,24,"This is a simple quick and easy recipe and is very flexible, adjust ingredients to your taste or try adding fennel or bell peppers, even hot peppers to spice it up a bit!  It's excellent with fried fish.","[""1 clove garlic, minced"",""1 cup julienned carrots"",""1 small head cabbage, sliced"",""1 small yellow onion, thinly sliced"",""1 tablespoon olive oil"",""1/2 cup fresh shredded coconut"",""1/4 cup chopped cilantro"",""1/4 cup chopped green onions"",""1/4 cup diced fresh tomato"",""2 tablespoons Indian curry powder"",""2 tablespoons butter"",""3/4 cup coconut milk"",""salt and pepper to taste""]",106034,https://www.allrecipes.com/recipe/106034/coconut-curry-cabbage/,Coconut Curry Cabbage Recipe - Allrecipes.com
3.33,indian,2,"My Indian mother-in-law's recipe. It is my favorite way to eat shrimp now. The spice measurements are approximate because of course she doesn't measure, so adjust to your liking. Indians will also make this dish with potatoes (which need to be boiled ahead) or cauliflower instead of green pepper. It would work with just about any veggie you like with shrimp.","[""1 large green bell pepper, cut into 1-inch squares"",""1 pound uncooked medium shrimp, peeled and deveined"",""1 tablespoon garlic paste"",""1 tablespoon water"",""1 teaspoon ground cumin"",""1 teaspoon lemon juice (optional)"",""1 tomato, diced"",""1/2 onion, minced"",""1/2 teaspoon ground black pepper (optional)"",""1/2 teaspoon mustard seed"",""1/2 teaspoon salt"",""2 tablespoons vegetable oil"",""2 teaspoons ground turmeric"",""2 teaspoons paprika"",""3/4 teaspoon ginger paste""]",222776,https://www.allrecipes.com/recipe/222776/indian-style-shrimp-fry/,Indian Style Shrimp Fry Recipe - Allrecipes.com
4.15,indian,76,"This simple recipe for saffron rice includes butter, onion, and saffron. It has been used in my family for quite some time and has always been a favorite.","[""1 cup uncooked long grain white rice"",""1 pinch saffron threads"",""1/2 cup butter"",""1/2 teaspoon dried parsley flakes"",""1/4 cup diced onion"",""2 cups water"",""3 drops yellow food coloring (optional)""]",59280,https://www.allrecipes.com/recipe/59280/saffron-rice/,Saffron Rice Recipe - Allrecipes.com
0.00,indian,0,"An absolutely yummy, heart-friendly version of sambar (sambhar), an Indian lentil curry that contains a lot of fiber and very little oil, made in the pressure cooker. Serve hot with steamed rice.","[""1 cup chopped eggplant"",""1 cup yellow lentils (tur daal)"",""1 pinch asafoetida powder"",""1 tablespoon tamarind paste"",""1 teaspoon mustard seeds"",""1 teaspoon turmeric powder"",""1 teaspoon vegetable oil, or as needed"",""1 teaspoon whole cumin seeds"",""1 whole dried red chile"",""2 teaspoons ground red chile powder"",""4 curry leaves, or more to taste"",""6 1/2 cups water, divided"",""salt to taste""]",266009,https://www.allrecipes.com/recipe/266009/pressure-cooker-sambar-indian-lentil-curry/,Pressure Cooker Sambar (Indian Lentil Curry) Recipe - Allrecipes.com
4.65,indian,34,"Chutney is excellent served as a condiment with any number of dishes, it adds a flavor that can't be beat.","[""1 bunch fresh cilantro"",""1 clove garlic"",""1 minced hot green chile peppers"",""1 tablespoon minced fresh ginger root"",""1 tablespoon peanuts"",""2 tablespoons lemon juice"",""salt to taste""]",14122,https://www.allrecipes.com/recipe/14122/green-chutney/,Green Chutney Recipe - Allrecipes.com
4.03,indian,30,This is an Indian chicken recipe my mom makes. I love it! Serve with rice or naan bread.,"[""1 onion, thinly sliced"",""1 tablespoon vegetable oil"",""1/2 cup buttermilk"",""1/2 cup tomato sauce"",""1/2 cup warm water"",""1/2 teaspoon crushed red pepper flakes"",""1/2 teaspoon ground coriander"",""1/2 teaspoon ground cumin"",""1/2 teaspoon salt"",""10 cardamom seeds"",""10 whole cloves"",""2 (6 ounce) skinless, boneless chicken breast halves"",""2 cloves garlic, minced"",""2 tablespoons chopped fresh parsley"",""4 (2 inch) cinnamon sticks""]",38809,https://www.allrecipes.com/recipe/38809/chicken-korma/,Chicken Korma Recipe - Allrecipes.com
4.00,indian,1,"This may sound like a lot of ingredients, but I usually have these spices on hand. The main ingredients make this a cheap dish. Who wants to make samosas by hand when you can make these? Serve hot or warm with your favorite chutney, if you like.","[""1 (15 ounce) can chickpeas, drained and rinsed"",""1 1/2 teaspoons ground cumin"",""1 small head cabbage, outer leaves discarded - quartered, cored, and thinly sliced"",""1 tablespoon olive oil"",""1 tablespoon vegan margarine"",""1 teaspoon bottled minced ginger"",""1 teaspoon ground turmeric"",""1 teaspoon salt"",""1/2 (10 ounce) package frozen peas"",""1/2 teaspoon garlic powder"",""1/4 cup chopped fresh cilantro"",""1/4 cup soy milk, or more as needed"",""1/8 teaspoon garam masala"",""1/8 teaspoon ground coriander"",""2 tablespoons curry powder"",""2 tablespoons thinly sliced green onion"",""2 teaspoons curry powder, or more to taste"",""2 teaspoons dehydrated onion flakes"",""2 teaspoons ground turmeric"",""5 red potatoes, scrubbed and cubed"",""8 (10 inch) flour tortillas"",""Curried Cabbage and Chickpeas:"",""Samosa Quesadillas:"",""freshly ground black pepper to taste""]",246253,https://www.allrecipes.com/recipe/246253/mals-samosa-quesadillas-with-curried-cabbage-and-chickpeas/,Mal's Samosa Quesadillas with Curried Cabbage and Chickpeas Recipe - Allrecipes.com
