rating,category,reviews,description,ingredients,id,url,title
3.91,italian,11,"I searched high and low for a recipe for this delicious pastry, originally prepared only for the aristocratic Renaissance set in Italy. There are only a few recipes online in English, and they assume you know quite about bit about baking or were just wrong. I've tried to simplify the process. It's a challenging recipe that requires a lot of time and some special techniques. Don't be upset if you don't get it right the first time. NOTE: The dough is a formula, so the ingredient measures are weights. It matters. The rest is less critical, so I used volumes.","[""1 2/3 cups whole-milk ricotta cheese"",""1 cup water"",""1/2 cup lard, room temperature"",""1/2 cup unsalted butter, room temperature"",""1/2 cup white sugar"",""1/3 ounce kosher salt"",""1/4 cup confectioners' sugar for dusting"",""1/4 teaspoon ground cinnamon"",""12 1/3 ounces bread flour"",""2 large egg yolks"",""2 tablespoons finely chopped candied orange peel"",""2 teaspoons vanilla extract"",""2/3 cup semolina flour"",""2/3 fluid ounce honey"",""5 1/3 ounces semolina flour"",""6 1/2 fluid ounces water, or more if needed"",""For Brushing:"",""The Dough:"",""The Filling:""]",235629,https://www.allrecipes.com/recipe/235629/sfogliatelle-ricce/,Sfogliatelle Ricce Recipe - Allrecipes.com
4.25,italian,14,"This recipe was given to me this past Easter by a wonderful lady. We don't wait until Easter to make and eat it! One egg usually will do, but 2 may be necessary.","[""1 1/2 cups whole milk ricotta cheese"",""1 cup diced Cheddar cheese"",""1 egg"",""1/2 bunch fresh parsley, chopped"",""1/2 cup diced provolone cheese"",""1/4 cup butter, melted"",""2 recipes pastry for a 9 inch double crust pie"",""3/4 pound Italian sausage links"",""6 hard-cooked eggs, diced"",""salt and pepper to taste""]",15099,https://www.allrecipes.com/recipe/15099/easter-pie/,Easter Pie Recipe - Allrecipes.com
4.22,italian,7,I came up with my own version of Italian Nachos after trying some at a festival. They are a nice change of pace from your typical nachos. These disappear fast whenever I take them to parties!,"[""1 (10 ounce) bag bag tortilla chips"",""1 pound shredded Monterey Jack cheese"",""1 small red onion, diced"",""1/3 cup chopped pepperoncini"",""1/3 cup sun-dried tomatoes, chopped"",""1/4 cup pitted Kalamata olives, chopped"",""3/4 cup Alfredo Sauce""]",139686,https://www.allrecipes.com/recipe/139686/super-duper-italian-nachos/,Super Duper Italian Nachos Recipe - Allrecipes.com
4.00,italian,5,"I am so proud of this fabulous concoction, not only because it tastes so wonderful, but because everyone that tries it LOVES it! Zucchini, noodles, cream cheese...can you possibly go wrong?","[""1 1/2 cups milk"",""1 cup grated Parmesan cheese, divided"",""1 large onion, finely chopped"",""1 large zucchini, cut into 1/8-inch thick rounds"",""1 teaspoon salt"",""1/2 cup all-purpose flour"",""1/2 cup butter"",""1/2 cup chopped fresh basil"",""1/2 teaspoon ground black pepper"",""2 cups boiling water"",""2 cups shredded mozzarella cheese, divided"",""2 cups small curd cottage cheese, divided"",""2 large carrots, finely chopped"",""2 teaspoons minced garlic"",""3 cubes chicken bouillon"",""6 ounces cream cheese, cubed"",""9 lasagna noodles""]",217203,https://www.allrecipes.com/recipe/217203/zucchini-lasagna/,Zucchini Lasagna Recipe - Allrecipes.com
4.38,italian,12,"This is a delicious pizza with a buttery ricotta cheese sauce and with a topping of mushrooms, broccoli, and chicken breast.","[""1 (12 inch) pre-baked pizza crust"",""1 (3 ounce) can sliced mushrooms, drained"",""1 (8 ounce) container ricotta cheese"",""1 skinless, boneless chicken breast, cut into bite-sized chunks"",""1 tablespoon butter"",""1 teaspoon dried oregano"",""1 teaspoon garlic powder"",""1/2 cup chopped fresh broccoli"",""2 cups shredded mozzarella cheese"",""salt and ground black pepper to taste""]",172070,https://www.allrecipes.com/recipe/172070/fast-and-easy-ricotta-cheese-pizza-with-mushrooms-broccoli-and-chicken/,"Fast and Easy Ricotta Cheese Pizza with Mushrooms, Broccoli, and Chicken Recipe - Allrecipes.com"
4.69,italian,146,"This is a very versatile Italian sausage which can be used in many different ways. You can take it from mild to hot and it's very easy to use. There are also different options for type of meat to use, like ground chuck or ground turkey (do not use ground beef). If using ground turkey, you'll have to coat your skillet with a little olive or veggie oil before cooking as it has very little fat and will stick to skillet.","[""1 1/4 tablespoons dried parsley"",""1 tablespoon dried basil"",""1 tablespoon freshly cracked black pepper"",""1 tablespoon garlic powder"",""1 tablespoon onion powder"",""1 tablespoon salt"",""1/4 teaspoon brown sugar"",""1/8 teaspoon dried oregano"",""1/8 teaspoon dried thyme"",""2 teaspoons crushed red pepper flakes, or to taste"",""2 teaspoons paprika"",""3 pounds ground pork"",""3 tablespoons red wine vinegar"",""3/4 teaspoon ground fennel seed""]",216319,https://www.allrecipes.com/recipe/216319/homemade-sweet-italian-sausage-mild-or-hot/,Homemade Sweet Italian Sausage (Mild or Hot) Recipe - Allrecipes.com
4.59,italian,173,This goes in the quick and easy category...and yummy too! Serve over cooked rice or pasta.,"[""1 (14.5 ounce) can stewed tomatoes, with liquid"",""1 1/2 pounds Italian sausage links"",""1 small yellow squash, sliced"",""1/2 cup chopped onion"",""2 small zucchini, sliced""]",38475,https://www.allrecipes.com/recipe/38475/italian-sausage-and-zucchini/,Italian Sausage and Zucchini Recipe - Allrecipes.com
4.47,italian,45,"My husband and I love risotto, but also prefer to eat healthily, so we came up with this compromise between the two.  We use homemade stock to keep the fat and salt down.  This recipe can easily be made vegetarian or vegan by using veggie stock and leaving out the cheese.","[""1 clove garlic, crushed"",""1 cup Arborio rice"",""1 cup broccoli florets"",""1 cup fresh green beans, cut into 1 inch pieces"",""1 cup thinly sliced zucchini"",""1 onion, diced"",""1 stalk celery, diced"",""1/3 cup crumbled reduced-fat feta cheese"",""1/3 cup dry white wine"",""2 tablespoons chopped fresh parsley (optional)"",""2 tablespoons olive oil"",""3/4 cup sugar snap peas, halved"",""4 cups boiling chicken stock""]",158733,https://www.allrecipes.com/recipe/158733/emerald-green-risotto/,Emerald Green Risotto Recipe - Allrecipes.com
4.73,italian,11,"Your family, friends, and neighbors will be hooked! Place bread in a large serving bowl and watch it disappear. Enjoy!","[""1 (16 ounce) loaf French bread, halved lengthwise"",""1/2 cup butter"",""3 cloves garlic, sliced""]",230908,https://www.allrecipes.com/recipe/230908/lisas-best-ever-garlic-bread/,Lisa's Best Ever Garlic Bread Recipe - Allrecipes.com
4.38,italian,177,"This is an easy-to-prepare, wonderful, flavorful pasta dish that gets rave reviews! I have had many friends ask me for this recipe. After my friends prepared this dish for their friends, their friends would ask my friends for it. Goes well with a crisp, green salad and garlic bread.","[""1 1/4 teaspoons dried basil"",""1 1/4 teaspoons dried oregano"",""1 1/4 teaspoons garlic powder"",""1 1/4 teaspoons salt"",""1 cup chopped sun-dried tomatoes"",""1/4 cup grated Parmesan cheese"",""16 ounces rotini pasta"",""3 cloves garlic, minced"",""4 skinless, boneless chicken breast halves, cut into bite size pieces"",""4 tablespoons olive oil""]",11777,https://www.allrecipes.com/recipe/11777/twelve-minute-pasta-toss/,Twelve Minute Pasta Toss Recipe - Allrecipes.com
