rating,category,reviews,description,ingredients,id,url,title
4.42,thai,48,"Perfect for a more exotic barbecue, these Thai chicken burgers combine ground chicken with sweet, tangy peanut sauce and red chili curry paste.  Barbecue or pan-fry, and serve with coconut-mint mayo on toasted rolls.","[""1 cup mayonnaise"",""1 tablespoon chopped fresh mint"",""1 tablespoon hot pepper sauce"",""1/2 cup Thai peanut sauce"",""1/4 cup flaked coconut, finely chopped"",""2 1/2 cups panko bread crumbs"",""2 pounds ground chicken"",""2 tablespoons minced fresh parsley"",""2 tablespoons minced green onion"",""2 tablespoons red curry paste"",""2 teaspoons lemon juice"",""2 teaspoons lime juice"",""2 teaspoons soy sauce"",""3 cloves garlic, minced"",""8 hamburger buns, split and toasted""]",51373,https://www.allrecipes.com/recipe/51373/thai-chicken-burgers/,Thai Chicken Burgers Recipe - Allrecipes.com
3.00,thai,1,"This is a unique fruit salad with a tart, creamy dressing with coconut, lemon, and ginger, and candied cashews with mint, cayenne, and cumin.","[""1 (1 inch) piece fresh ginger, finely chopped, or more to taste"",""1 1/2 cups raw cashews"",""1 apple, diced"",""1 tablespoon butter"",""1 tablespoon crushed dried mint"",""1 teaspoon cayenne pepper"",""1 teaspoon ground coriander"",""1 teaspoon ground cumin"",""1/2 (15 ounce) can unsweetened coconut milk"",""1/2 cup raisins"",""1/2 cup shredded coconut"",""1/2 cup white sugar, or more to taste"",""3 cups cantaloupe, cut into bite-size pieces"",""3/4 cup white sugar"",""4 kiwi fruits, sliced"",""6 cups watermelon, cut into bite-sized chunks"",""7 lemons, juiced""]",90307,https://www.allrecipes.com/recipe/90307/thai-inspired-fruit-salad/,Thai-Inspired Fruit Salad Recipe - Allrecipes.com
3.73,thai,10,"Fish sauce, egg and rice stirred into a pork, onion and tomato stir-fry. Truly Thai; this recipe came over from Thailand when my cousin brought his wife and son home upon returning from the service! My cousin's wife taught me how to make this dish. To make it spicy, add hot pepper sauce or dried hot peppers!","[""1 cup uncooked white rice"",""1 egg, beaten"",""1 onion, chopped"",""2 cups water"",""2 pounds boneless pork loin, cut into 1 inch cubes"",""2 teaspoons fish sauce"",""4 tomatoes, cut into bite size pieces""]",16389,https://www.allrecipes.com/recipe/16389/kal-pot/,Kal Pot Recipe - Allrecipes.com
5.00,thai,1,"This soup began as something else that evolved as it was being cooked. After tasting it a few times, it needed something else. So the Thai red curry paste, lime juice, and coconut milk were added after cooking for 4 hours. That was the magic! Everyone who tried it was very satisfied, except one who didn't care for anything spicy. This isn't overpoweringly spicy, just enough heat tamed by the lime juice and coconut milk. Have fun!","[""1 (1 inch) piece fresh ginger root, peeled and thinly sliced (or more to taste)"",""1 (5.6 ounce) can coconut milk"",""1 cup dried red beans"",""1 cup pearl barley, or more to taste"",""1 cup quinoa, or more to taste"",""1 red chile pepper, sliced"",""1 stalk celery, chopped"",""1 tomato, diced"",""1/2 cup chopped green onion, or more to taste"",""1/2 green bell pepper (or more to taste), cut into 1-inch pieces"",""2 ounces Thai red curry paste"",""2 quarts vegetable broth"",""2 tablespoons dried Italian seasoning, or more to taste"",""2 tablespoons fresh lime juice"",""2 tablespoons ground black pepper"",""2 teaspoons dried chives"",""2 teaspoons garlic powder"",""2 teaspoons onion powder"",""3 tablespoons chicken bouillon powder, or more to taste"",""6 cloves garlic (or more to taste), peeled and chopped""]",235164,https://www.allrecipes.com/recipe/235164/scots-thai-soup/,Scot's Thai Soup Recipe - Allrecipes.com
4.50,thai,12,"This dish is a popular Southern Style Thai dish.  Delicious, simple, and really easy to prepare, it is a good recipe for a working woman.  Good compliment for papaya salad.","[""1 (2 to 3 pound) whole chicken"",""1 teaspoon whole white peppercorns"",""12 cloves garlic"",""2 stalks lemon grass"",""2 tablespoons salt"",""5 tablespoons peeled and chopped fresh turmeric""]",8579,https://www.allrecipes.com/recipe/8579/gkai-kamin/,Gkai Kamin Recipe - Allrecipes.com
3.94,thai,35,This chicken is simple to make and the sauce is even more flavorful if allowed to marinate on the chicken overnight. Try serving this with a spicy fried rice.,"[""1 lime, zested and juiced"",""1 tablespoon white sugar"",""1/2 cup water"",""1/4 cup Worcestershire sauce"",""1/4 cup soy sauce"",""1/4 teaspoon crushed red pepper flakes"",""2 tablespoons minced fresh ginger root"",""3 cloves garlic, minced"",""6 skinless, boneless chicken breast halves""]",16908,https://www.allrecipes.com/recipe/16908/thai-style-bbq-chicken/,Thai Style BBQ Chicken Recipe - Allrecipes.com
0.00,thai,0,I made this chicken pad thai for my wife on her birthday and she loved it. Make sure to pick up medium rice noodles.,"[""1 (8 ounce) package medium-sized dried rice noodles"",""1 1/2 cups 1/2-inch wide strips of raw chicken breast"",""1 cup fresh bean sprouts"",""1 tablespoon lime juice"",""1/2 teaspoon chili powder"",""1/4 cup chopped fresh chives"",""1/4 cup fish sauce"",""1/4 cup white sugar"",""2 eggs"",""2 tablespoons tamarind juice"",""3 tablespoons canola or peanut oil, divided"",""3/4 cup chopped unsalted dry-roasted peanuts"",""3/4 tablespoon white sugar"",""3/4 teaspoon minced garlic"",""3/4 teaspoon salt"",""4 tablespoons soy sauce"",""4 teaspoons cornstarch""]",272276,https://www.allrecipes.com/recipe/272276/chicken-pad-thai-with-peanut-sauce/,Chicken Pad Thai with Peanut Sauce Recipe - Allrecipes.com
4.50,thai,2,"This dish uses a classic Thai preparation method of protein. It might not sound like much, but it's a very satisfying dish, especially made with shrimp that's shell-on. We eat the shrimp shell and all, as to not miss out on any flavor. It's also a very kid-friendly dinner dish. Serve with lots of rice.","[""1 pound whole unpeeled prawns, divided"",""1 tablespoon white sugar"",""1/2 teaspoon ground white pepper"",""1/4 cup vegetable oil, divided, or as needed"",""2 tablespoons fish sauce"",""2 tablespoons light soy sauce"",""2 tablespoons tapioca flour"",""8 cloves garlic, chopped, or more to taste""]",245888,https://www.allrecipes.com/recipe/245888/goong-tod-kratiem-prik-thai-prawns-fried-with-garlic-and-white-pepper/,Goong Tod Kratiem Prik Thai (Prawns Fried with Garlic and White Pepper) Recipe - Allrecipes.com
3.65,thai,82,"This Thai-inspired dish can be made in less than 15 minutes. Strips of skinless chicken breast are cooked in sesame oil, and then coated with a sweet and spicy peanut sauce. Garnish with scallions, and serve with rice or noodles.","[""1 pound boneless, skinless chicken sliced into strips"",""1 teaspoon McCormick(r) cayenne pepper"",""1/2 cup Peter Pan(R) Creamy Peanut Butter"",""1/2 cup hoisin sauce"",""1/2 cup scallions, chopped"",""2 tablespoons sesame oil"",""2 teaspoons minced ginger""]",104481,https://www.allrecipes.com/recipe/104481/thai-chicken-tenders/,Thai Chicken Tenders Recipe - Allrecipes.com
4.43,thai,96,"This delicious recipe most closely resembles my favorite Thai restaurant's Ground Chicken Basil. I've searched for recipes, but none gave this authentic taste. It's quick and easy, too! Serve with steamed rice if you like.","[""1 cup fresh basil leaves"",""1 pound ground chicken breast"",""1/4 cup minced garlic"",""12 Thai chiles, sliced into thin rings"",""2 tablespoons fish sauce"",""2 tablespoons peanut oil"",""2 teaspoons black soy sauce""]",139339,https://www.allrecipes.com/recipe/139339/thai-ground-chicken-basil/,Thai Ground Chicken Basil Recipe - Allrecipes.com
